"Number of violent victimizations by crime type, 1993-2022--Sex: female--Age: 15 to 17"
Year,Sex,Age,Crime Type,Number,Number CI Lower Bound,Number CI Upper Bound,Number SE,Number Flag
"1994","Female","15 to 17","Aggravated assault","135,564","82,767","188,360","26,937","0"
"1995","Female","15 to 17","Aggravated assault","126,640","78,046","175,234","24,793","0"
"1996","Female","15 to 17","Aggravated assault","128,698","76,159","181,237","26,806","0"
"1997","Female","15 to 17","Aggravated assault","93,838","45,210","142,467","24,811","0"
"1998","Female","15 to 17","Aggravated assault","72,516","36,425","108,606","18,414","0"
"1999","Female","15 to 17","Aggravated assault","104,884","53,219","156,549","26,360","0"
"2000","Female","15 to 17","Aggravated assault","28,953","7,134","50,772","11,132","1"
"2001","Female","15 to 17","Aggravated assault","50,344","19,559","81,130","15,707","0"
"2002","Female","15 to 17","Aggravated assault","30,945","7,854","54,035","11,781","1"
"2003","Female","15 to 17","Aggravated assault","104,015","53,193","154,837","25,930","0"
"2004","Female","15 to 17","Aggravated assault","23,131","3,343","42,919","10,096","1"
"2005","Female","15 to 17","Aggravated assault","48,509","15,766","81,252","16,706","0"
"2006","Female","15 to 17","Aggravated assault","60,580","23,880","97,281","18,725","0"
"2007","Female","15 to 17","Aggravated assault","152,306","91,495","213,118","31,027","1"
"2008","Female","15 to 17","Aggravated assault","16,612","0","37,042","10,424","1"
"2009","Female","15 to 17","Aggravated assault","28,783","2,291","55,276","13,517","1"
"2010","Female","15 to 17","Aggravated assault","48,633","15,951","81,315","16,675","1"
"2011","Female","15 to 17","Aggravated assault","25,978","5,096","46,860","10,654","1"
"2012","Female","15 to 17","Aggravated assault","9,837","0","23,211","6,824","1"
"2013","Female","15 to 17","Aggravated assault","29,117","5,452","52,782","12,074","1"
"2014","Female","15 to 17","Aggravated assault","18,357","0","36,943","9,483","1"
"2015","Female","15 to 17","Aggravated assault","9,721","0","23,359","6,958","1"
"2016","Female","15 to 17","Aggravated assault","12,662","0","26,027","6,819","1"
"2017","Female","15 to 17","Aggravated assault","20,481","2,483","38,479","9,183","1"
"2018","Female","15 to 17","Aggravated assault","24,876","5,192","44,559","10,043","1"
"2019","Female","15 to 17","Aggravated assault","9,980","0","22,176","6,223","1"
"2020","Female","15 to 17","Aggravated assault","39,849","13,437","66,262","13,476","1"
"2021","Female","15 to 17","Aggravated assault","8,222","0","17,379","4,672","1"
"2022","Female","15 to 17","Aggravated assault","21,629","1,460","41,797","10,290","1"
"1993","Female","15 to 17","Simple assault","370,940","253,372","488,508","59,985","0"
"1994","Female","15 to 17","Simple assault","348,382","252,978","443,786","48,676","0"
"1995","Female","15 to 17","Simple assault","415,087","309,513","520,662","53,866","0"
"1996","Female","15 to 17","Simple assault","381,774","273,760","489,787","55,110","0"
"1997","Female","15 to 17","Simple assault","449,128","314,643","583,613","68,616","0"
"1998","Female","15 to 17","Simple assault","309,912","213,351","406,473","49,267","0"
"1999","Female","15 to 17","Simple assault","497,493","353,791","641,195","73,319","0"
"2000","Female","15 to 17","Simple assault","312,376","208,589","416,163","52,954","0"
"2001","Female","15 to 17","Simple assault","300,305","205,171","395,439","48,538","0"
"2002","Female","15 to 17","Simple assault","309,932","200,704","419,159","55,729","0"
"2003","Female","15 to 17","Simple assault","262,217","168,840","355,595","47,643","0"
"2004","Female","15 to 17","Simple assault","136,627","79,484","193,770","29,155","0"
"2005","Female","15 to 17","Simple assault","278,268","179,286","377,249","50,502","0"
"2006","Female","15 to 17","Simple assault","315,525","211,349","419,700","53,152","0"
"2007","Female","15 to 17","Simple assault","166,254","101,408","231,100","33,085","0"
"2008","Female","15 to 17","Simple assault","139,058","68,424","209,693","36,039","0"
"2009","Female","15 to 17","Simple assault","128,416","60,284","196,549","34,762","0"
"2010","Female","15 to 17","Simple assault","56,495","20,394","92,596","18,419","0"
"2011","Female","15 to 17","Simple assault","107,417","55,808","159,026","26,332","0"
"2012","Female","15 to 17","Simple assault","202,483","125,487","279,479","39,284","0"
"2013","Female","15 to 17","Simple assault","226,340","131,722","320,958","48,275","0"
"2014","Female","15 to 17","Simple assault","154,137","85,403","222,870","35,069","0"
"2015","Female","15 to 17","Simple assault","74,882","29,225","120,539","23,295","0"
"2016","Female","15 to 17","Simple assault","53,632","22,586","84,678","15,840","0"
"2017","Female","15 to 17","Simple assault","117,011","66,357","167,665","25,844","0"
"2018","Female","15 to 17","Simple assault","99,221","52,457","145,985","23,860","0"
"2019","Female","15 to 17","Simple assault","141,376","81,752","201,001","30,421","0"
"2020","Female","15 to 17","Simple assault","45,581","16,865","74,297","14,651","1"
"2021","Female","15 to 17","Simple assault","21,809","5,648","37,970","8,245","1"
"2022","Female","15 to 17","Simple assault","98,254","51,067","145,441","24,075","0"
"95% C.I.: 95% confidence interval."
"S.E.: Standard error."
"Estimate flag of 1: Interpret data with caution, based on 10 or fewer sample cases or the coefficient of variation is greater than 50%."
"Estimate flag of 2: For numbers, indicates estimate is equal to 0 victimizations. For rates, indicates estimate rounds to less than .05 victimizations per 1,000. For percents, indicates estimate rounds to less than .5 percent."
"Estimates for 2006 should not be compared to other years. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"In October 2018, BJS released a revised set of 2016 NCVS data. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"One limitation of the 2016 NCVS revised data file relates to youth 12-17 years old. A significant portion of youth crime occurs at school and therefore, an inherent limitation of the file is that the youth in the sample had less time in school based on the cases that were pulled for the revised file. Please use caution when examining crime estimates for youth using 2016 data."
"Income was imputed beginning in 2015, so no cases in 2015 or later have unknown income. See Terms and Definitions for more information."
"In this tool, data on most important reasons for reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"In this tool, data on most important reasons for not reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2022". https://ncvs.bjs.ojp.gov/multi-year-trends/crimeType
