"Number of violent victimizations by crime type, 1993-2022--Sex: female--Age: 35 to 49"
Year,Sex,Age,Crime Type,Number,Number CI Lower Bound,Number CI Upper Bound,Number SE,Number Flag
"1993","Female","35 to 49","Robbery","105,851","52,207","159,495","27,370","0"
"1994","Female","35 to 49","Robbery","197,421","130,785","264,057","33,999","0"
"1995","Female","35 to 49","Robbery","141,333","89,201","193,465","26,599","0"
"1996","Female","35 to 49","Robbery","106,384","59,939","152,829","23,697","0"
"1997","Female","35 to 49","Robbery","152,247","86,087","218,406","33,755","0"
"1998","Female","35 to 49","Robbery","132,217","78,284","186,149","27,517","0"
"1999","Female","35 to 49","Robbery","156,954","89,993","223,915","34,164","0"
"2000","Female","35 to 49","Robbery","76,144","35,724","116,564","20,623","0"
"2001","Female","35 to 49","Robbery","51,306","20,165","82,447","15,889","0"
"2002","Female","35 to 49","Robbery","34,951","9,964","59,938","12,749","0"
"2003","Female","35 to 49","Robbery","63,670","26,539","100,801","18,945","0"
"2004","Female","35 to 49","Robbery","56,401","23,075","89,727","17,003","0"
"2005","Female","35 to 49","Robbery","44,376","13,357","75,396","15,826","0"
"2006","Female","35 to 49","Robbery","110,007","56,954","163,060","27,068","0"
"2007","Female","35 to 49","Robbery","78,239","40,903","115,576","19,050","0"
"2008","Female","35 to 49","Robbery","88,691","34,914","142,468","27,438","0"
"2009","Female","35 to 49","Robbery","75,486","27,134","123,839","24,670","0"
"2010","Female","35 to 49","Robbery","41,381","12,002","70,761","14,990","0"
"2011","Female","35 to 49","Robbery","57,497","23,092","91,902","17,554","0"
"2012","Female","35 to 49","Robbery","35,449","8,132","62,765","13,937","0"
"2013","Female","35 to 49","Robbery","64,370","24,378","104,361","20,404","0"
"2014","Female","35 to 49","Robbery","50,783","16,609","84,957","17,436","0"
"2015","Female","35 to 49","Robbery","113,399","54,177","172,620","30,216","0"
"2016","Female","35 to 49","Robbery","29,865","7,957","51,773","11,178","0"
"2017","Female","35 to 49","Robbery","70,508","33,337","107,678","18,965","0"
"2018","Female","35 to 49","Robbery","85,861","43,252","128,470","21,740","0"
"2019","Female","35 to 49","Robbery","55,384","22,124","88,643","16,970","0"
"2020","Female","35 to 49","Robbery","32,435","9,174","55,696","11,868","0"
"2021","Female","35 to 49","Robbery","84,565","47,348","121,781","18,988","0"
"2022","Female","35 to 49","Robbery","76,603","35,721","117,486","20,859","0"
"1993","Female","35 to 49","Aggravated assault","224,062","138,727","309,396","43,539","0"
"1994","Female","35 to 49","Aggravated assault","267,590","186,919","348,260","41,159","0"
"1995","Female","35 to 49","Aggravated assault","174,275","114,605","233,945","30,444","0"
"1996","Female","35 to 49","Aggravated assault","221,656","146,572","296,740","38,309","0"
"1997","Female","35 to 49","Aggravated assault","320,874","213,304","428,444","54,884","0"
"1998","Female","35 to 49","Aggravated assault","193,402","123,565","263,239","35,632","0"
"1999","Female","35 to 49","Aggravated assault","172,128","101,029","243,227","36,276","0"
"2000","Female","35 to 49","Aggravated assault","121,232","66,361","176,104","27,996","0"
"2001","Female","35 to 49","Aggravated assault","182,056","113,306","250,806","35,077","0"
"2002","Female","35 to 49","Aggravated assault","142,391","78,543","206,238","32,576","0"
"2003","Female","35 to 49","Aggravated assault","111,303","58,204","164,402","27,092","0"
"2004","Female","35 to 49","Aggravated assault","155,120","93,268","216,971","31,557","0"
"2005","Female","35 to 49","Aggravated assault","103,622","51,217","156,027","26,738","0"
"2006","Female","35 to 49","Aggravated assault","194,310","118,212","270,408","38,826","0"
"2007","Female","35 to 49","Aggravated assault","135,943","79,993","191,893","28,547","0"
"2008","Female","35 to 49","Aggravated assault","101,899","43,436","160,363","29,829","0"
"2009","Female","35 to 49","Aggravated assault","56,888","16,474","97,302","20,620","0"
"2010","Female","35 to 49","Aggravated assault","61,031","23,022","99,040","19,393","0"
"2011","Female","35 to 49","Aggravated assault","106,947","55,487","158,407","26,256","0"
"2012","Female","35 to 49","Aggravated assault","149,377","85,508","213,246","32,587","0"
"2013","Female","35 to 49","Aggravated assault","79,212","33,218","125,206","23,467","0"
"2014","Female","35 to 49","Aggravated assault","142,914","77,446","208,382","33,403","0"
"2015","Female","35 to 49","Aggravated assault","133,287","67,665","198,908","33,481","0"
"2016","Female","35 to 49","Aggravated assault","115,106","65,454","164,759","25,333","0"
"2017","Female","35 to 49","Aggravated assault","99,571","53,710","145,431","23,399","0"
"2018","Female","35 to 49","Aggravated assault","129,637","74,011","185,264","28,382","0"
"2019","Female","35 to 49","Aggravated assault","94,676","48,372","140,980","23,625","0"
"2020","Female","35 to 49","Aggravated assault","97,169","50,722","143,615","23,698","0"
"2021","Female","35 to 49","Aggravated assault","106,353","63,269","149,438","21,982","0"
"2022","Female","35 to 49","Aggravated assault","190,414","120,791","260,037","35,523","0"
"1993","Female","35 to 49","Simple assault","1,276,452","1,012,519","1,540,384","134,662","0"
"1994","Female","35 to 49","Simple assault","1,221,244","1,005,056","1,437,432","110,302","0"
"1995","Female","35 to 49","Simple assault","1,006,091","814,361","1,197,822","97,824","0"
"1996","Female","35 to 49","Simple assault","1,052,924","837,285","1,268,562","110,022","0"
"1997","Female","35 to 49","Simple assault","1,178,054","920,248","1,435,859","131,536","0"
"1998","Female","35 to 49","Simple assault","959,667","747,383","1,171,952","108,311","0"
"1999","Female","35 to 49","Simple assault","825,566","623,054","1,028,079","103,325","0"
"2000","Female","35 to 49","Simple assault","568,297","411,735","724,860","79,880","0"
"2001","Female","35 to 49","Simple assault","593,522","444,158","742,887","76,208","0"
"2002","Female","35 to 49","Simple assault","663,480","477,370","849,591","94,956","0"
"2003","Female","35 to 49","Simple assault","529,703","379,578","679,828","76,596","0"
"2004","Female","35 to 49","Simple assault","623,576","472,229","774,924","77,220","0"
"2005","Female","35 to 49","Simple assault","556,881","400,029","713,733","80,028","0"
"2006","Female","35 to 49","Simple assault","542,373","393,457","691,289","75,979","0"
"2007","Female","35 to 49","Simple assault","521,298","371,462","671,135","76,449","0"
"2008","Female","35 to 49","Simple assault","505,086","345,873","664,299","81,233","0"
"2009","Female","35 to 49","Simple assault","572,958","387,485","758,432","94,631","0"
"2010","Female","35 to 49","Simple assault","388,458","252,944","523,972","69,141","0"
"2011","Female","35 to 49","Simple assault","433,210","301,289","565,130","67,308","0"
"2012","Female","35 to 49","Simple assault","536,435","393,966","678,905","72,690","0"
"2013","Female","35 to 49","Simple assault","420,533","274,512","566,555","74,502","0"
"2014","Female","35 to 49","Simple assault","391,085","264,418","517,751","64,627","0"
"2015","Female","35 to 49","Simple assault","568,916","399,006","738,827","86,691","0"
"2016","Female","35 to 49","Simple assault","502,567","374,005","631,128","65,594","0"
"2017","Female","35 to 49","Simple assault","461,122","339,789","582,455","61,906","0"
"2018","Female","35 to 49","Simple assault","449,497","321,967","577,027","65,068","0"
"2019","Female","35 to 49","Simple assault","429,830","306,907","552,753","62,717","0"
"2020","Female","35 to 49","Simple assault","397,779","279,448","516,110","60,374","0"
"2021","Female","35 to 49","Simple assault","420,808","314,122","527,493","54,433","0"
"2022","Female","35 to 49","Simple assault","529,626","399,633","659,619","66,324","0"
"95% C.I.: 95% confidence interval."
"S.E.: Standard error."
"Estimate flag of 1: Interpret data with caution, based on 10 or fewer sample cases or the coefficient of variation is greater than 50%."
"Estimate flag of 2: For numbers, indicates estimate is equal to 0 victimizations. For rates, indicates estimate rounds to less than .05 victimizations per 1,000. For percents, indicates estimate rounds to less than .5 percent."
"Estimates for 2006 should not be compared to other years. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"In October 2018, BJS released a revised set of 2016 NCVS data. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"One limitation of the 2016 NCVS revised data file relates to youth 12-17 years old. A significant portion of youth crime occurs at school and therefore, an inherent limitation of the file is that the youth in the sample had less time in school based on the cases that were pulled for the revised file. Please use caution when examining crime estimates for youth using 2016 data."
"Income was imputed beginning in 2015, so no cases in 2015 or later have unknown income. See Terms and Definitions for more information."
"In this tool, data on most important reasons for reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"In this tool, data on most important reasons for not reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2022". https://ncvs.bjs.ojp.gov/multi-year-trends/crimeType
