"Number of violent victimizations by crime type, 1993-2022--Sex: female--Age: 25 to 34"
Year,Sex,Age,Crime Type,Number,Number CI Lower Bound,Number CI Upper Bound,Number SE,Number Flag
"1998","Female","25 to 34","Robbery","78,311","40,335","116,288","19,376","0"
"1999","Female","25 to 34","Robbery","79,528","36,178","122,878","22,118","0"
"2000","Female","25 to 34","Robbery","73,339","33,894","112,784","20,125","0"
"2001","Female","25 to 34","Robbery","56,386","23,403","89,368","16,828","0"
"2002","Female","25 to 34","Robbery","69,468","30,169","108,768","20,051","0"
"2003","Female","25 to 34","Robbery","52,371","19,538","85,203","16,752","0"
"2004","Female","25 to 34","Robbery","104,522","56,099","152,945","24,706","0"
"2005","Female","25 to 34","Robbery","29,796","5,375","54,218","12,460","1"
"2006","Female","25 to 34","Robbery","119,981","63,959","176,003","28,583","0"
"2007","Female","25 to 34","Robbery","135,622","79,768","191,476","28,497","0"
"2008","Female","25 to 34","Robbery","94,166","38,419","149,914","28,443","0"
"2009","Female","25 to 34","Robbery","74,752","26,700","122,804","24,517","0"
"2010","Female","25 to 34","Robbery","47,419","15,279","79,559","16,398","0"
"2011","Female","25 to 34","Robbery","42,821","14,295","71,348","14,554","1"
"2012","Female","25 to 34","Robbery","71,854","30,684","113,024","21,005","0"
"2013","Female","25 to 34","Robbery","96,630","43,994","149,266","26,855","0"
"2014","Female","25 to 34","Robbery","44,419","12,931","75,906","16,065","0"
"2015","Female","25 to 34","Robbery","36,500","7,055","65,945","15,023","0"
"2016","Female","25 to 34","Robbery","46,991","18,320","75,663","14,629","0"
"2017","Female","25 to 34","Robbery","54,376","22,571","86,180","16,227","0"
"2018","Female","25 to 34","Robbery","51,512","20,694","82,329","15,724","0"
"2019","Female","25 to 34","Robbery","40,266","12,837","67,695","13,995","0"
"2020","Female","25 to 34","Robbery","41,128","14,193","68,063","13,743","0"
"2021","Female","25 to 34","Robbery","60,664","30,480","90,848","15,400","0"
"2022","Female","25 to 34","Robbery","73,217","33,379","113,055","20,326","0"
"1993","Female","25 to 34","Aggravated assault","311,796","206,593","416,999","53,676","0"
"1994","Female","25 to 34","Aggravated assault","451,111","338,489","563,734","57,461","0"
"1995","Female","25 to 34","Aggravated assault","291,409","207,914","374,905","42,601","0"
"1996","Female","25 to 34","Aggravated assault","274,484","187,922","361,047","44,165","0"
"1997","Female","25 to 34","Aggravated assault","244,596","154,612","334,580","45,911","0"
"1998","Female","25 to 34","Aggravated assault","170,444","106,373","234,515","32,690","0"
"1999","Female","25 to 34","Aggravated assault","213,536","131,679","295,394","41,765","0"
"2000","Female","25 to 34","Aggravated assault","108,539","57,540","159,538","26,020","0"
"2001","Female","25 to 34","Aggravated assault","133,113","76,823","189,404","28,720","0"
"2002","Female","25 to 34","Aggravated assault","158,790","89,995","227,586","35,100","0"
"2003","Female","25 to 34","Aggravated assault","117,048","62,187","171,910","27,991","0"
"2004","Female","25 to 34","Aggravated assault","78,565","37,885","119,245","20,755","0"
"2005","Female","25 to 34","Aggravated assault","115,012","59,037","170,987","28,559","0"
"2006","Female","25 to 34","Aggravated assault","165,333","96,703","233,963","35,016","0"
"2007","Female","25 to 34","Aggravated assault","82,778","43,870","121,687","19,852","0"
"2008","Female","25 to 34","Aggravated assault","130,832","62,784","198,881","34,719","0"
"2009","Female","25 to 34","Aggravated assault","71,589","24,843","118,336","23,851","0"
"2010","Female","25 to 34","Aggravated assault","77,095","32,638","121,552","22,683","0"
"2011","Female","25 to 34","Aggravated assault","124,367","67,526","181,208","29,001","0"
"2012","Female","25 to 34","Aggravated assault","124,571","67,375","181,766","29,182","0"
"2013","Female","25 to 34","Aggravated assault","77,783","32,352","123,215","23,180","0"
"2014","Female","25 to 34","Aggravated assault","63,396","24,213","102,579","19,992","0"
"2015","Female","25 to 34","Aggravated assault","68,226","25,127","111,324","21,989","0"
"2016","Female","25 to 34","Aggravated assault","157,967","97,350","218,584","30,927","0"
"2017","Female","25 to 34","Aggravated assault","97,867","52,489","143,245","23,152","0"
"2018","Female","25 to 34","Aggravated assault","114,359","63,093","165,625","26,157","0"
"2019","Female","25 to 34","Aggravated assault","68,500","30,617","106,384","19,329","0"
"2020","Female","25 to 34","Aggravated assault","111,091","60,436","161,746","25,845","0"
"2021","Female","25 to 34","Aggravated assault","72,262","38,572","105,953","17,190","0"
"2022","Female","25 to 34","Aggravated assault","130,791","75,041","186,540","28,444","0"
"1993","Female","25 to 34","Simple assault","998,892","774,553","1,223,232","114,461","0"
"1994","Female","25 to 34","Simple assault","1,286,595","1,062,802","1,510,387","114,182","0"
"1995","Female","25 to 34","Simple assault","1,239,149","1,018,204","1,460,093","112,729","0"
"1996","Female","25 to 34","Simple assault","1,095,489","873,897","1,317,081","113,059","0"
"1997","Female","25 to 34","Simple assault","910,561","694,141","1,126,982","110,421","0"
"1998","Female","25 to 34","Simple assault","755,624","576,068","935,180","91,612","0"
"1999","Female","25 to 34","Simple assault","778,426","583,854","972,998","99,273","0"
"2000","Female","25 to 34","Simple assault","620,361","454,018","786,705","84,871","0"
"2001","Female","25 to 34","Simple assault","503,624","369,763","637,485","68,298","0"
"2002","Female","25 to 34","Simple assault","529,346","370,542","688,151","81,024","0"
"2003","Female","25 to 34","Simple assault","502,278","357,490","647,067","73,873","0"
"2004","Female","25 to 34","Simple assault","389,517","278,268","500,766","56,761","0"
"2005","Female","25 to 34","Simple assault","357,115","240,447","473,783","59,526","0"
"2006","Female","25 to 34","Simple assault","565,934","412,744","719,125","78,160","0"
"2007","Female","25 to 34","Simple assault","380,894","261,814","499,974","60,756","0"
"2008","Female","25 to 34","Simple assault","422,539","280,620","564,458","72,409","0"
"2009","Female","25 to 34","Simple assault","434,064","280,568","587,561","78,316","0"
"2010","Female","25 to 34","Simple assault","404,074","264,760","543,389","71,080","0"
"2011","Female","25 to 34","Simple assault","295,435","193,872","396,998","51,819","0"
"2012","Female","25 to 34","Simple assault","443,711","317,574","569,849","64,357","0"
"2013","Female","25 to 34","Simple assault","374,174","239,670","508,678","68,626","0"
"2014","Female","25 to 34","Simple assault","390,481","263,945","517,017","64,560","0"
"2015","Female","25 to 34","Simple assault","298,816","188,092","409,540","56,493","0"
"2016","Female","25 to 34","Simple assault","432,634","316,205","549,063","59,404","0"
"2017","Female","25 to 34","Simple assault","384,580","276,792","492,368","54,995","0"
"2018","Female","25 to 34","Simple assault","541,494","396,706","686,282","73,873","0"
"2019","Female","25 to 34","Simple assault","349,879","242,604","457,154","54,733","0"
"2020","Female","25 to 34","Simple assault","310,395","210,343","410,447","51,048","0"
"2021","Female","25 to 34","Simple assault","219,449","150,384","288,514","35,238","0"
"2022","Female","25 to 34","Simple assault","454,143","336,002","572,283","60,277","0"
"95% C.I.: 95% confidence interval."
"S.E.: Standard error."
"Estimate flag of 1: Interpret data with caution, based on 10 or fewer sample cases or the coefficient of variation is greater than 50%."
"Estimate flag of 2: For numbers, indicates estimate is equal to 0 victimizations. For rates, indicates estimate rounds to less than .05 victimizations per 1,000. For percents, indicates estimate rounds to less than .5 percent."
"Estimates for 2006 should not be compared to other years. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"In October 2018, BJS released a revised set of 2016 NCVS data. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"One limitation of the 2016 NCVS revised data file relates to youth 12-17 years old. A significant portion of youth crime occurs at school and therefore, an inherent limitation of the file is that the youth in the sample had less time in school based on the cases that were pulled for the revised file. Please use caution when examining crime estimates for youth using 2016 data."
"Income was imputed beginning in 2015, so no cases in 2015 or later have unknown income. See Terms and Definitions for more information."
"In this tool, data on most important reasons for reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"In this tool, data on most important reasons for not reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2022". https://ncvs.bjs.ojp.gov/multi-year-trends/crimeType
